[2022-12-06 20:35:46,746][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:51,494][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:51,720][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:51,933][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:52,141][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:52,383][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:52,624][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:52,878][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:53,105][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:53,345][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:53,556][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:53,791][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:54,026][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:54,262][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:54,498][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:54,742][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:54,969][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:55,208][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:55,454][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:55,687][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:55,932][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:56,191][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:56,466][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:56,712][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:56,955][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:57,181][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:57,387][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:57,650][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:57,865][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:58,095][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:58,312][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:58,549][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:58,796][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:59,038][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:59,282][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:59,491][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:59,725][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:59,962][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:00,204][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:00,418][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:00,658][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:00,885][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:01,153][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:01,387][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:01,628][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:01,856][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:02,063][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:02,328][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:02,546][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:02,780][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:03,003][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:03,234][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:03,496][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:03,719][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:03,954][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:04,161][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:04,390][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:04,633][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:04,869][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:05,095][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:05,335][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:05,568][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:05,807][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:06,035][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:06,249][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:06,475][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:06,677][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:06,925][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:07,167][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:07,392][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:07,634][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:07,856][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:08,111][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:08,325][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:08,575][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:08,794][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:09,027][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:09,288][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:09,541][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:09,794][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:10,013][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:10,241][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:36:10,490][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 364]. Convert image to uint8 prior to saving to suppress this warning.
